Loss Function,Algorithm,Dataset Length,Dataset Width,Subset Length,Computation Time,Loss
"Uni-criterion: discreteCoverage, coverage",greedySwap,300,10,10,0.06702404213137925,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,300,10,10,0.01295320806093514,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,300,10,10,0.012282082810997963,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,300,10,10,0.05988216679543257,2.6960483588075634
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,300,10,10,0.010487792082130909,5.83535874488815
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,300,10,10,0.01025983295403421,10.008718261010602
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,300,10,10,0.12676912499591708,-97.18710943707997
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,300,10,10,0.01864441717043519,-93.43851578485189
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,300,10,10,0.018833542009815574,-90.11134743878748
"Uni-criterion: discreteCoverage, coverage",greedySwap,400,10,10,0.09323191712610424,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,400,10,10,0.017862292006611824,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,400,10,10,0.02357175014913082,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,400,10,10,0.08987395884469151,2.5655081395044648
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,400,10,10,0.014476415934041142,6.166879282494097
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,400,10,10,0.014101749984547496,10.04727903397083
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,400,10,10,0.20932174986228347,-97.23781545131968
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,400,10,10,0.02537633292376995,-94.3512955540335
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,400,10,10,0.027912083081901073,-89.6832728005781
"Uni-criterion: discreteCoverage, coverage",greedySwap,400,10,10,0.09692299994640052,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,400,10,10,0.016873790882527828,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,400,10,10,0.016921125119552016,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,400,10,10,0.08141645882278681,2.602944374998684
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,400,10,10,0.01395487505942583,6.0604412066272495
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,400,10,10,0.013240499887615442,10.123544283918434
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,400,10,10,0.20422166702337563,-97.76988445258989
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,400,10,10,0.028734124964103103,-93.74755214990913
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,400,10,10,0.032469124998897314,-89.7602926474772
"Uni-criterion: discreteCoverage, coverage",greedySwap,400,10,10,0.1392647090833634,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,400,10,10,0.028187541058287024,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,400,10,10,0.021581833949312568,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,400,10,10,0.08074945793487132,3.298425586061005
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,400,10,10,0.013637375086545944,5.519648454497565
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,400,10,10,0.014309708029031754,10.05786931463911
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,400,10,10,0.24003666709177196,-97.22399576596372
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,400,10,10,0.03353179222904146,-94.16065813075654
